sequence,date,type,sourceNoteReviewStatus,reviewFlags,title,sourceNoteDraftForReview,workingProvenanceForAudit,baseFrusSourceNote,facePageAddendaForReview,subject,dateTimePlace,participantsBlock,notetaker,interpreter,classificationMarking,classifiedBy,reason,declassifyOn,declassifiedBy,packetPages,actualConversationPacketPages,sourcePdfPages,pdfUrl,sourcePacketUrl
"19","1994-02-20","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Katherine O'Loughlin as notetaker. The face page identifies Galina Tunik-Rosniansky as interpreter. The face page gives the date/time/place as: February 20, 1994; l:27-l:47pm EST The Oval Office.","Source PDF pages 155-157. Source marker/provenance page 148. Compiler packet pages 104-107; actual conversation pages 104-106; provenance sheet page 107.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 470, Folder Title/Record ID 9401529, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telecon with President Boris Yeltsin of Russia | Date/time/place: February 20, 1994; l:27-l:47pm EST The Oval Office | Declassify on: OADR | Notetaker: Katherine O'Loughlin | Interpreter: Galina Tunik-Rosniansky | Participants block: The President President Yeltsin Interpreter: Galina Tunik-Rosniansky Notetaker: Katherine O'Loughlin","Telecon with President Boris Yeltsin of Russia","February 20, 1994; l:27-l:47pm EST The Oval Office","The President President Yeltsin Interpreter: Galina Tunik-Rosniansky Notetaker: Katherine O'Loughlin","Katherine O'Loughlin","Galina Tunik-Rosniansky","","","","OADR","DECLASSIFIED | PER E.0.13526 | Declassify on: OADR","104-107","104-106","155-157","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"20","1994-04-10","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Kevin Wooton, William Spencer as notetaker. The face page identifies Dimitri Zarechnak as interpreter. The face page gives the date/time/place as: April 10, 1994; Call began at 2315 EDT, terminated at 2338 EDT. The White House.","Source PDF pages 164-166. Source marker/provenance page 159. Compiler packet pages 108-111; actual conversation pages 108-110; provenance sheet page 111.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9402775, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon With President Yeltsin of Russia | Date/time/place: April 10, 1994; Call began at 2315 EDT, terminated at 2338 EDT. The White House | Declassify on: OADR | Notetaker: Kevin Wooton, William Spencer | Interpreter: Dimitri Zarechnak | Participants block: The President President Yeltsin Interpreter: Dimitri Zarechnak Notetaker: Kevin Wooton, William Spencer","Telcon With President Yeltsin of Russia","April 10, 1994; Call began at 2315 EDT, terminated at 2338 EDT. The White House","The President President Yeltsin Interpreter: Dimitri Zarechnak Notetaker: Kevin Wooton, William Spencer","Kevin Wooton, William Spencer","Dimitri Zarechnak","","","","OADR","WAS HI NGTON DECLASSIFIED | PER E.0.13526 ^ | Declassify on: OADR","108-111","108-110","164-166","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"21","1994-04-20","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Rick Waddell as notetaker. The face page identifies Dimitry Zarechnak as interpreter. The face page gives the date/time/place as: April 20, 1994; 2:25 - 3:05pm Oval Office.","Source PDF pages 181-184. Source marker/provenance page 171. Compiler packet pages 112-116; actual conversation pages 112-115; provenance sheet page 116.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 472, Folder Title/Record ID 9403047, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Boris Yeltsin of Russia on April 20, 1994 (U) | Date/time/place: April 20, 1994; 2:25 - 3:05pm Oval Office | Declassify on: OADR | Notetaker: Rick Waddell | Interpreter: Dimitry Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Rick Waddell","Telcon with President Boris Yeltsin of Russia on April 20, 1994 (U)","April 20, 1994; 2:25 - 3:05pm Oval Office","The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Rick Waddell","Rick Waddell","Dimitry Zarechnak","","","","OADR","Declassify on: OADR","112-116","112-115","181-184","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"22","1994-06-13","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Steven Aoki as notetaker. The face page identifies Dimitry Zarechnak as interpreter. The face page gives the date/time/place as: 11 June 1994, 1:24 (EDT) The White House President Clinton: Hello.","Source PDF pages 191-194. Source marker/provenance page 187. Compiler packet pages 117-121; actual conversation pages 117-120; provenance sheet page 121.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9404692, Original OA/ID 475, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with Boris Yeltsin of Russia on 13 June 1994 | Date/time/place: 11 June 1994, 1:24 (EDT) The White House President Clinton: Hello | Face-page marking: SECRET 3/iy cioig K6H ^ | Declassify on: OADR PER E.0.13526 | Notetaker: Steven Aoki | Interpreter: Dimitry Zarechnak | Participants block: The President President Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Steven Aoki","Telcon with Boris Yeltsin of Russia on 13 June 1994","11 June 1994, 1:24 (EDT) The White House President Clinton: Hello","The President President Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Steven Aoki","Steven Aoki","Dimitry Zarechnak","SECRET 3/iy cioig K6H ^","","","OADR PER E.0.13526","Declassify on: OADR PER E.0.13526","117-121","117-120","191-194","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"23","1994-07-05","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies John Beyrle as notetaker. The face page identifies Kyrill Borissov as interpreter. The face page gives the date/time/place as: 5 July 1994, 9:31-9:49 (EDT) Oval Office.","Source PDF pages 202-204. Source marker/provenance page 196. Compiler packet pages 122-125; actual conversation pages 122-124; provenance sheet page 125.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 477, Folder Title/Record ID 9405387, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with Boris Yeltsin of Russia on 5 July 1994 | Date/time/place: 5 July 1994, 9:31-9:49 (EDT) Oval Office | Face-page marking: -SECRET 5387 | Declassify on: OADR DECLASSIFIED | Notetaker: John Beyrle | Interpreter: Kyrill Borissov | Participants block: The President President Yeltsin Interpreter: Kyrill Borissov Notetaker: John Beyrle","Telcon with Boris Yeltsin of Russia on 5 July 1994","5 July 1994, 9:31-9:49 (EDT) Oval Office","The President President Yeltsin Interpreter: Kyrill Borissov Notetaker: John Beyrle","John Beyrle","Kyrill Borissov","-SECRET 5387","","","OADR DECLASSIFIED","Declassify on: OADR DECLASSIFIED | PER E.0.13526.","122-125","122-124","202-204","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"24","1994-09-27","Memcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Clinton-Yeltsin one-on-one memcon, September 27, 1994","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies The President President Boris Yeltsin Anthony Lake, Assistant to the President for National Security as notetaker. The face page gives the date/time/place as: September 27, 1994: 11:00 a.m.-1:00 p.m.; Oval Office and Patio.","Source PDF pages 213-219. Source marker/provenance page 209. Compiler packet pages 126-133; actual conversation pages 126-132; provenance sheet page 133.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 481, Folder Title/Record ID 9408090, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Meeting with President Boris Yeltsin | Date/time/place: September 27, 1994: 11:00 a.m.-1:00 p.m.; Oval Office and Patio | Face-page marking: -SECRET^- PER E.0.13526, | Declassify on: OADR t^-i | Notetaker: The President President Boris Yeltsin Anthony Lake, Assistant to the President for National Security | Participants block: The President President Boris Yeltsin Anthony Lake, Assistant to the President for National Security (Notetaker) Victor Ilyushin, First Assistant to President Yeltsin (Notetaker)","Meeting with President Boris Yeltsin","September 27, 1994: 11:00 a.m.-1:00 p.m.; Oval Office and Patio","The President President Boris Yeltsin Anthony Lake, Assistant to the President for National Security (Notetaker) Victor Ilyushin, First Assistant to President Yeltsin (Notetaker)","The President President Boris Yeltsin Anthony Lake, Assistant to the President for National Security","","-SECRET^- PER E.0.13526,","","","OADR t^-i","DECLASSIFIED | -SECRET^- PER E.0.13526, | Declassify on: OADR t^-i","126-133","126-132","213-219","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"25","1994-09-27","Memcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page gives the date/time/place as: September 27, 1994; 4:35-5:35pm Cabinet Room DECLASSIFIED PER E.0.13526 •CONFIDENTIAL- Declassify on: OADR 3/iyi.ol8 K6H.","Source PDF pages 251-260. Source marker/provenance page 245. Compiler packet pages 134-144; actual conversation pages 134-143; provenance sheet page 144.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 482, Folder Title/Record ID 9408513, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Expanded Session on Security Issues with President Yeltsin of the Russian Federation | Date/time/place: September 27, 1994; 4:35-5:35pm Cabinet Room DECLASSIFIED PER E.0.13526 •CONFIDENTIAL- Declassify on: OADR 3/iyi.ol8 K6H | Face-page marking: •CONFIDENTIAL- | Declassify on: OADR 3/iyi.ol8 K6H | Participants block: The President The Vice President Warren Christopher, The Secretary of State William Perry, The Secretary of Defense Anthony Lake, Assistant to the President for National Security Affairs Leon Fuerth, Assistant to the Vice President for National Security Affairs Lynn Davis, Undersecretary for International Security Affairs Thomas Pickering, U.S. Ambassador...","Expanded Session on Security Issues with President Yeltsin of the Russian Federation","September 27, 1994; 4:35-5:35pm Cabinet Room DECLASSIFIED PER E.0.13526 •CONFIDENTIAL- Declassify on: OADR 3/iyi.ol8 K6H","The President The Vice President Warren Christopher, The Secretary of State William Perry, The Secretary of Defense Anthony Lake, Assistant to the President for National Security Affairs Leon Fuerth, Assistant to the Vice President for National Security Affairs Lynn Davis, Undersecretary for International Security Affairs Thomas Pickering, U.S. Ambassador to the Russian Federation Nicholas Burns, Special Assistant to the President and Senior Director for Russian, Ukrainian and Eurasian Affairs, NSC Rose Gottemoeller, Director for Russian, Ukrainian and Eurasian Affairs, NSC Notetaker Peter Afanasenko, Interpreter Boris Yeltsin, President of the Russian Federation Oleg Soskovets, Deputy Prime Minister Andrey Kozyrev, Minister of Foreign Affairs Pavel Grachev, Minister of Defense Oleg Davydov, Minister of Foreign Economics Trade Georgiy Mamedov, Deputy Minister of Foreign Affairs Viktor Iliyushin, First Assistant to the President Yuliy Vorontsov, Russian Ambassador to the U.S. Interpreter","","","•CONFIDENTIAL-","","","OADR 3/iyi.ol8 K6H","DECLASSIFIED | PER E.0.13526 | Declassify on: OADR 3/iyi.ol8 K6H","134-144","134-143","251-260","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"26","1994-09-28","Memcon","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Second Clinton/Yeltsin One-on-One","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection. [Classification marking to be verified against the source PDF]. The face page gives the date/time/place as: September 28, 1994, 1:00-2:30 p.m..","Source PDF pages 3-7,9. Compiler packet pages 145-150; actual conversation pages 145-150.","Source: William J. Clinton Presidential Library, Clinton Digital Library item 101758, ""Declassified documents concerning telcon between the President and Boris Yeltsin on September 28, 1994,"" identifier 2018-1215-M; creators National Security Council, NSC European Affairs Office, and Alexander Vershbow; part of National Archives Catalog Description, NAID 7585499; Clinton Presidential Records: White House Staff and Office Files; Declassified Documents collection.","Subject: Second Clinton/Yeltsin One-on-One | Date/time/place: September 28, 1994, 1:00-2:30 p.m.","Second Clinton/Yeltsin One-on-One","September 28, 1994, 1:00-2:30 p.m.","","","","","","","","DECLASSIFIED","145-150","145-150","3-7,9","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf","https://clinton.presidentiallibraries.us/files/original/2509827ca57f98e07eec584b3d69250f.pdf"
"27","1994-10-05","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin, October 5, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Jessica Stern as notetaker. The face page identifies Dimitry Zarechnak as interpreter. The face page gives the date/time/place as: October 5, 1993, 10:30-11:00am, Oval Office.","Source PDF pages 227-230. Source marker/provenance page 221. Compiler packet pages 151-155; actual conversation pages 151-154; provenance sheet page 155.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9408162, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Yeltsin (U) | Date/time/place: October 5, 1993, 10:30-11:00am, Oval Office | Declassify on: OADR 3/iy 1013 l'<8Vl | Notetaker: Jessica Stern | Interpreter: Dimitry Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Jessica Stern","Telephone Conversation with Russian President Yeltsin (U)","October 5, 1993, 10:30-11:00am, Oval Office","The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Jessica Stern","Jessica Stern","Dimitry Zarechnak","","","","OADR 3/iy 1013 l'<8Vl","DECLASSIFIED | PER E.0.13526 ^ | Declassify on: OADR 3/iy 1013 l'<8Vl","151-155","151-154","227-230","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"28","1994-10-10","Telcon","Needs source-note review","classification marking; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Jessica Stern as notetaker. The face page identifies Dimitry Zarechnak as interpreter. The face page gives the date/time/place as: October 10, 1993, 12:15 - 12:40pm Oval Office.","Source PDF pages 238-241. Source marker/provenance page 233. Compiler packet pages 156-160; actual conversation pages 156-159; provenance sheet page 160.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 481, Folder Title/Record ID 9408229, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telcon with President Boris Yeltsin of Russian Federation (U) | Date/time/place: October 10, 1993, 12:15 - 12:40pm Oval Office | Declassify on: OADR PER E.0.13526 ^ | Notetaker: Jessica Stern | Interpreter: Dimitry Zarechnak | Participants block: The President President Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Jessica Stern","Telcon with President Boris Yeltsin of Russian Federation (U)","October 10, 1993, 12:15 - 12:40pm Oval Office","The President President Yeltsin Interpreter: Dimitry Zarechnak Notetaker: Jessica Stern","Jessica Stern","Dimitry Zarechnak","","","","OADR PER E.0.13526 ^","SEC-RET- DECLASSIFIED | Declassify on: OADR PER E.0.13526 ^","156-160","156-159","238-241","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"29","1995-02-13","Telcon","Needs source-note review","participants; notetaker; interpreter; classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page gives the date/time/place as: February 13, 1995, 1:03-1:25 p.m. Oval Office.","Source PDF pages 268-271. Source marker/provenance page 263. Compiler packet pages 161-165; actual conversation pages 161-164; provenance sheet page 165.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 564, Folder Title/Record ID 9500995, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Yeltsin: Chechnya, START II PTU^TICIPTUITS The President President Boris Yeltsin DECLASSIFIED PER E.0.13526 Interpreter: Dimitry Zarechnak Notetaker: Steve Pifer 3/iyioi8 KBH | Date/time/place: February 13, 1995, 1:03-1:25 p.m. Oval Office | Face-page marking: SECRET ^ 0995 | Declassify on: OADR","Telephone Conversation with Russian President Yeltsin: Chechnya, START II PTU^TICIPTUITS The President President Boris Yeltsin DECLASSIFIED PER E.0.13526 Interpreter: Dimitry Zarechnak Notetaker: Steve Pifer 3/iyioi8 KBH","February 13, 1995, 1:03-1:25 p.m. Oval Office","","","","SECRET ^ 0995","","","OADR","President Boris Yeltsin DECLASSIFIED | PER E.0.13526 | Declassify on: OADR","161-165","161-164","268-271","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"30","1995-04-27","Telcon","Needs source-note review","classified-by line not parsed; classification reason not parsed","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies John Beyrle, Kenneth Baldwin, Karen Dragone as notetaker. The face page identifies Peter Afanasenko as interpreter. The face page gives the date/time/place as: 27 April 1995, 9:31 - 10:04am Oval Office.","Source PDF pages 280-283. Source marker/provenance page 275. Compiler packet pages 166-170; actual conversation pages 166-169; provenance sheet page 170.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9503572, Mandatory Declassification Review 2015-0782-M-1, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Presidential Telephone Call | Date/time/place: 27 April 1995, 9:31 - 10:04am Oval Office | Face-page marking: COMF1 DEI^fflAL 3572 | Declassify on: OADR PER E.0.13526 ^ | Notetaker: John Beyrle, Kenneth Baldwin, Karen Dragone | Interpreter: Peter Afanasenko | Participants block: The President President Yeltsin Interpreter: Peter Afanasenko Notetakers: John Beyrle, Kenneth Baldwin, Karen Dragone","Presidential Telephone Call","27 April 1995, 9:31 - 10:04am Oval Office","The President President Yeltsin Interpreter: Peter Afanasenko Notetakers: John Beyrle, Kenneth Baldwin, Karen Dragone","John Beyrle, Kenneth Baldwin, Karen Dragone","Peter Afanasenko","COMF1 DEI^fflAL 3572","","","OADR PER E.0.13526 ^","-GONFIDENTIAL- DECLASSIFIED | Declassify on: OADR PER E.0.13526 ^","166-170","166-169","280-283","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
"31","1995-05-10","Memcon","Needs source-note review","participants; classification marking; classified-by line not parsed; classification reason not parsed; declassify-on line not parsed","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia. [Classification marking to be verified against the source PDF]. The face page gives the date/time/place as: 10:10 a.m. - 1:19 p.m..","Source PDF pages 285-300. Source marker/provenance page 284. Compiler packet pages 171-187; actual conversation pages 171-186; provenance sheet page 187.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9503774, Original OA/ID 582, Mandatory Declassification Review 2014-0904-M-Release-A, Declassified documents concerning Russia.","Subject: One-On-One Meeting | Date/time/place: 10:10 a.m. - 1:19 p.m.","One-On-One Meeting","10:10 a.m. - 1:19 p.m.","","","","","","","","","171-187","171-186","285-300","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-05/2015-0782-M-1.pdf"
