topic,sequence,date,type,packetPages,actualConversationPacketPages,hits,terms,title,pdf
"Russian Politics / Elections","11","1993-09-21","Telcon","61-64","61-63","4","election:1; communist:1; opposition:2","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf"
"Russian Politics / Elections","12","1993-10-05","Telcon","65-68","65-67","4","election:2; democracy:1; opposition:1","Telephone call with President Boris Yeltsin of Russia, October 5, 1993, Air Force One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-10-05-telcon-12.pdf"
"Russian Politics / Elections","15","1994-01-13","Memcon","80-90","80-90","4","duma:2; communist:1; democracy:1","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"Russian Politics / Elections","31","1995-05-10","Memcon","171-187","171-186","4","duma:1; opposition:3","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"Russian Politics / Elections","44","1996-06-18","Telcon","274-276","274-275","4","election:3; democracy:1","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf"
"Russian Politics / Elections","52","1997-03-21","Memcon","318-324","318-323","4","duma:4","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"Russian Politics / Elections","70","1998-09-12","Telcon","427-431","427-430","4","duma:3; democracy:1","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf"
"Russian Politics / Elections","73","1999-03-24","Telcon","440-445","440-444","4","duma:1; communist:1; democracy:1; constitution:1","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf"
"Russian Politics / Elections","3","1993-04-03","Memcon","9-18","9-17","3","communist:1; democracy:2","Working Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf"
"Russian Politics / Elections","18","1994-01-15","Memcon","102-103","102-103","3","duma:2; democracy:1","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf"
"Russian Politics / Elections","47","1996-12-05","Telcon","284-287","284-286","3","election:3","Telephone call with President Boris Yeltsin of Russia, December 5, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-12-05-telcon-42.pdf"
"Russian Politics / Elections","59","1998-02-23","Telcon","366-370","366-369","3","duma:3","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf"
"Russian Politics / Elections","65","1998-06-15","Telcon","401-406","401-405","3","duma:3","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf"
"Russian Politics / Elections","83","1999-09-08","Telcon","504-509","504-508","3","election:1; duma:1; constitution:1","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf"
"Russian Politics / Elections","84","1999-11-19","Memcon","510-517","510-516","3","election:1; duma:1; democracy:1","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf"
"Russian Politics / Elections","4","1993-04-04","Memcon","19-31","19-30","2","communist:2","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"Russian Politics / Elections","32","1995-06-17","Memcon","188-195","188-195","2","election:1; opposition:1","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"Russian Politics / Elections","35","1995-10-23","Memcon","206-218","206-217","2","duma:1; democracy:1","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"Russian Politics / Elections","60","1998-04-06","Telcon","371-376","371-375","2","duma:2","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf"
"Russian Politics / Elections","74","1999-04-19","Telcon","446-452","446-451","2","communist:1; opposition:1","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf"
"Russian Politics / Elections","8","1993-06-28","Telcon","41-45","41-44","1","constitution:1","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf"
"Russian Politics / Elections","10","1993-09-07","Telcon","56-60","56-59","1","opposition:1","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"Russian Politics / Elections","24","1994-09-27","Memcon","126-133","126-132","1","communist:1","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"Russian Politics / Elections","25","1994-09-27","Memcon","134-144","134-143","1","duma:1","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf"
"Russian Politics / Elections","27","1994-10-05","Telcon","151-155","151-154","1","opposition:1","Telephone call with President Boris Yeltsin, October 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf"
"Russian Politics / Elections","30","1995-04-27","Telcon","166-170","166-169","1","duma:1","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"Russian Politics / Elections","46","1996-09-15","Telcon","281-283","281-282","1","election:1","Telephone call with President Boris Yeltsin of Russia, September 15, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-09-15-telcon-41.pdf"
"Russian Politics / Elections","51","1997-03-21","Memcon","313-317","313-316","1","duma:1","Helsinki Afternoon Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf"
"Russian Politics / Elections","54","1997-06-20","Memcon","334-342","334-341","1","democracy:1","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"Russian Politics / Elections","58","1998-02-02","Telcon","361-365","361-364","1","duma:1","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf"
"Russian Politics / Elections","61","1998-05-12","Telcon","377-382","377-381","1","duma:1","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf"
"Russian Politics / Elections","63","1998-05-21","Telcon","392-395","392-394","1","duma:1","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf"
"Russian Politics / Elections","64","1998-05-28","Telcon","396-400","396-399","1","duma:1","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf"
"Russian Politics / Elections","72","1998-12-30","Telcon","435-439","435-439","1","duma:1","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"Russian Politics / Elections","75","1999-04-25","Telcon","453-465","453-464","1","election:1","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"Chechnya / Caucasus","29","1995-02-13","Telcon","161-165","161-164","15","chechnya:14; chechen:1","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf"
"Chechnya / Caucasus","32","1995-06-17","Memcon","188-195","188-195","8","chechnya:3; caucasus:2; dudayev:3","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"Chechnya / Caucasus","84","1999-11-19","Memcon","510-517","510-516","8","chechnya:6; chechen:2","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf"
"Chechnya / Caucasus","41","1996-04-21","Memcon","247-260","247-259","7","chechnya:3; dudayev:4","POTUS-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf"
"Chechnya / Caucasus","7","1993-05-10","Telcon","38-40","38-39","6","dudayev:6","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf"
"Chechnya / Caucasus","37","1996-01-26","Telcon","225-230","225-229","6","chechnya:2; chechen:2; caucasus:1; dudayev:1","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"Chechnya / Caucasus","31","1995-05-10","Memcon","171-187","171-186","5","chechnya:3; caucasus:1; dudayev:1","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"Chechnya / Caucasus","33","1995-07-28","Telcon","196-201","196-200","5","chechnya:4; chechen:1","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf"
"Chechnya / Caucasus","43","1996-05-07","Telcon","269-273","269-272","5","chechnya:3; chechen:1; dudayev:1","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf"
"Chechnya / Caucasus","40","1996-04-09","Telcon","241-246","241-245","4","chechnya:4","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf"
"Chechnya / Caucasus","30","1995-04-27","Telcon","166-170","166-169","3","chechnya:3","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"Chechnya / Caucasus","83","1999-09-08","Telcon","504-509","504-508","3","chechnya:2; chechen:1","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf"
"Chechnya / Caucasus","38","1996-02-21","Telcon","231-235","231-234","2","chechnya:2","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf"
"Chechnya / Caucasus","82","1999-06-20","Memcon","494-503","494-502","2","chechnya:2","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"Chechnya / Caucasus","34","1995-09-27","Telcon","202-205","202-204","1","chechnya:1","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"Chechnya / Caucasus","42","1996-04-21","Memcon","261-268","261-267","1","chechnya:1","Luncheon Meeting with Russian President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf"
"Iraq / Middle East","28","1994-10-10","Telcon","156-160","156-159","22","iraq:8; saddam:7; sanctions:4; middle east:3","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf"
"Iraq / Middle East","15","1994-01-13","Memcon","80-90","80-90","20","iraq:10; sanctions:4; middle east:1; iran:5","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"Iraq / Middle East","17","1994-01-14","Memcon","94-101","94-101","17","iraq:4; middle east:1; iran:12","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf"
"Iraq / Middle East","22","1994-06-13","Telcon","117-121","117-120","17","sanctions:17","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf"
"Iraq / Middle East","31","1995-05-10","Memcon","171-187","171-186","17","middle east:1; iran:16","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"Iraq / Middle East","4","1993-04-04","Memcon","19-31","19-30","15","iraq:4; sanctions:2; middle east:2; iran:7","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"Iraq / Middle East","52","1997-03-21","Memcon","318-324","318-323","15","middle east:2; iran:13","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"Iraq / Middle East","58","1998-02-02","Telcon","361-365","361-364","15","iraq:7; saddam:3; sanctions:1; iran:4","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf"
"Iraq / Middle East","41","1996-04-21","Memcon","247-260","247-259","13","middle east:6; iran:7","POTUS-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf"
"Iraq / Middle East","54","1997-06-20","Memcon","334-342","334-341","13","iraq:3; saddam:1; sanctions:4; iran:5","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"Iraq / Middle East","57","1997-11-22","Telcon","354-360","354-359","10","iraq:5; saddam:3; iran:2","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf"
"Iraq / Middle East","56","1997-11-16","Telcon","350-353","350-352","9","iraq:3; saddam:6","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf"
"Iraq / Middle East","72","1998-12-30","Telcon","435-439","435-439","8","iraq:5; saddam:3","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"Iraq / Middle East","9","1993-07-10","Memcon","46-55","46-54","7","sanctions:5; iran:2","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf"
"Iraq / Middle East","53","1997-05-27","Memcon","325-333","325-332","7","middle east:1; iran:6","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf"
"Iraq / Middle East","59","1998-02-23","Telcon","366-370","366-369","7","iraq:3; saddam:4","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf"
"Iraq / Middle East","69","1998-08-25","Telcon","422-426","422-425","7","iraq:3; saddam:1; iran:3","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf"
"Iraq / Middle East","27","1994-10-05","Telcon","151-155","151-154","6","iran:6","Telephone call with President Boris Yeltsin, October 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf"
"Iraq / Middle East","8","1993-06-28","Telcon","41-45","41-44","5","iraq:3; sanctions:1; iran:1","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf"
"Iraq / Middle East","14","1994-01-13","Memcon","74-79","74-79","5","iraq:1; iran:4","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
"Iraq / Middle East","24","1994-09-27","Memcon","126-133","126-132","5","sanctions:2; iran:3","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"Iraq / Middle East","26","1994-09-28","Memcon","145-150","145-150","4","iraq:1; iran:3","Second Clinton/Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf"
"Iraq / Middle East","33","1995-07-28","Telcon","196-201","196-200","4","sanctions:4","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf"
"Iraq / Middle East","60","1998-04-06","Telcon","371-376","371-375","4","iraq:1; iran:3","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf"
"Iraq / Middle East","21","1994-04-20","Telcon","112-116","112-115","3","sanctions:3","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf"
