topic,sequence,date,type,packetPages,actualConversationPacketPages,hits,terms,title,pdf
"Iraq / Middle East","25","1994-09-27","Memcon","134-144","134-143","3","sanctions:2; iran:1","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf"
"Iraq / Middle East","55","1997-10-30","Telcon","343-349","343-348","3","middle east:1; iran:2","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf"
"Iraq / Middle East","67","1998-07-10","Telcon","410-414","410-413","3","sanctions:3","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf"
"Iraq / Middle East","1","1993-01-23","Telcon","1-4","1-3","2","iraq:1; saddam:1","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"Iraq / Middle East","32","1995-06-17","Memcon","188-195","188-195","2","iran:2","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"Iraq / Middle East","34","1995-09-27","Telcon","202-205","202-204","2","sanctions:1; iran:1","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"Iraq / Middle East","61","1998-05-12","Telcon","377-382","377-381","2","sanctions:1; iran:1","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf"
"Iraq / Middle East","62","1998-05-17","Memcon","383-391","383-390","2","middle east:1; iran:1","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"Iraq / Middle East","2","1993-02-10","Telcon","5-8","5-7","1","sanctions:1","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf"
"Iraq / Middle East","10","1993-09-07","Telcon","56-60","56-59","1","middle east:1","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"Iraq / Middle East","29","1995-02-13","Telcon","161-165","161-164","1","sanctions:1","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf"
"Iraq / Middle East","30","1995-04-27","Telcon","166-170","166-169","1","iran:1","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"Iraq / Middle East","35","1995-10-23","Memcon","206-218","206-217","1","iran:1","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"Iraq / Middle East","49","1997-03-21","Memcon","292-303","292-302","1","iraq:1","Helsinki Morning Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf"
"Iraq / Middle East","63","1998-05-21","Telcon","392-395","392-394","1","sanctions:1","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf"
"Iraq / Middle East","70","1998-09-12","Telcon","427-431","427-430","1","iran:1","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf"
"Iraq / Middle East","82","1999-06-20","Memcon","494-503","494-502","1","iran:1","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"Iraq / Middle East","85","1999-12-31","Telcon","518-521","518-520","1","middle east:1","Telephone call with President Boris Yeltsin of Russia, December 31, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-12-31-telcon-80.pdf"
